,id,album,track_number,name
470,19F8SL0eDcQDfvJHMil00f,Live in Chicago,21,The Piano Knows Something I Don't Know - Alternate Version
486,59kTVUKhpcFw9zMLPSbFvH,Pretty. Odd.,16,Nine in the Afternoon
487,4cpvL9PzBnQjinE5wCo3By,Pretty. Odd.,1,We're So Starving
488,1S30kHvkkdMkcuCTGSgS41,Pretty. Odd.,2,Nine in the Afternoon - Single Mix
489,3vl6Lv6TZO429Z2bBwCiZk,Pretty. Odd.,3,She's a Handsome Woman
490,1ac22sFSlj3iaQV2qAsFkK,Pretty. Odd.,4,Do You Know What I'm Seeing?
491,2d1D1E8M48hHE99u6BO8RN,Pretty. Odd.,5,That Green Gentleman (Things Have Changed)
492,4E1R0vG10ed0wDhjn09kTG,Pretty. Odd.,6,I Have Friends in Holy Spaces
493,49SL9f1Kz73p0bzsNPTY4l,Pretty. Odd.,7,Northern Downpour
494,7v1b3qExlTFrpFWrtcnUpE,Pretty. Odd.,8,When the Day Met the Night
495,3AYlkW7zXQWjaIlSjkRHES,Pretty. Odd.,9,Pas de Cheval
496,7mUIArtwutOJoJ4rF3r0ZD,Pretty. Odd.,10,The Piano Knows Something I Don't Know
497,6T2VGjZgDtJNC6t1yYYcOP,Pretty. Odd.,11,Behind the Sea
498,7bNQvH1gTydxfIetHX3WGC,Pretty. Odd.,12,Folkin' Around
499,673WCjn0SxKJD4qRKczaCk,Pretty. Odd.,13,She Had the World
500,2x8Ljij15QYLZMwYZWwiLH,Pretty. Odd.,14,From a Mountain in the Middle of the Cabins
501,6BlNWpXnsONi1ieRt0Jzsh,Pretty. Odd.,15,Mad as Rabbits
502,0JSnEZMwlEcq5eKiyZvy4F,A Fever You Can't Sweat Out,1,Introduction
503,4WdopfTdSd0nCLropjhsgH,A Fever You Can't Sweat Out,2,The Only Difference Between Martyrdom and Suicide Is Press Coverage
504,0N90pptABhFyr1axONlIEB,A Fever You Can't Sweat Out,3,London Beckoned Songs About Money Written by Machines
505,5VHwEHR0IfvV4f7V7o0qnt,A Fever You Can't Sweat Out,4,"Nails for Breakfast, Tacks for Snacks"
506,2hgkutEHVmJRg7drAJAFHi,A Fever You Can't Sweat Out,5,Camisado
507,4C2i4NymWRem1LOVEqwWV6,A Fever You Can't Sweat Out,6,Time to Dance
508,5eB7w8UZJKjL5XmnC6Pctg,A Fever You Can't Sweat Out,7,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
509,51iSSDPQFolRBhtS9rAbeg,A Fever You Can't Sweat Out,8,Intermission
510,2ZqTtndqAZDRAWw2vgZwQK,A Fever You Can't Sweat Out,9,But It's Better If You Do
511,4bPQs0PHn4xbipzdPfn6du,A Fever You Can't Sweat Out,10,I Write Sins Not Tragedies
512,3obggbhnOjjnytaGM1hpDR,A Fever You Can't Sweat Out,11,I Constantly Thank God for Esteban
513,4xSVkbqCz1xaevkjP8xXL5,A Fever You Can't Sweat Out,12,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet"
514,4rstj4vgkFq49R2VV0fbxX,A Fever You Can't Sweat Out,13,"Build God, Then We'll Talk"
541,7HlzIJ8I7tJilMgT90mGQK,King Size Manger,1,Angels We Have Heard On High
542,3dBFZ9vADIjRXhzMJMOKWk,King Size Manger,2,What He's Given Me
543,0fC0IEFPXWShlWIu5fEdHb,King Size Manger,3,King Size Manger
544,7M28PxLdPdoPpIS94laX9Z,King Size Manger,4,Joy To The World
545,3gYs1zYhSpke9KUfJS4unl,King Size Manger,5,Soldier's Gift
546,70HtAbnqc03H6c2TQL7dHB,King Size Manger,6,Have Yourself A Merry Little Christmas
