,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
353,2Tg7Tc4H50u11aDpmSRQTB,0.00109,0.492,0.59,0.0023,0.271,-4.032,0.0313,117.637,0.179,58
354,2RQ0D9N823H0WT1vSy74RM,3.44e-05,0.379,0.849,0.00224,0.298,-5.747,0.0747,146.841,0.584,56
355,0nf90XrbSz8QJ0RJzyzyD3,0.000194,0.356,0.809,0.0178,0.178,-5.825,0.0887,172.433,0.533,56
356,43wVj2ZOEyhIKWKBJWdxT2,0.00734,0.396,0.555,0.0,0.175,-6.049,0.0468,138.467,0.331,57
357,61aS3LDHi60ZZr3ZpHG2AP,0.00108,0.377,0.838,0.0264,0.132,-6.57,0.14,162.522,0.633,57
358,5SJdekNLV0K53bTxkP3tyq,0.00293,0.571,0.869,0.0328,0.531,-6.436,0.11,134.617,0.939,56
359,5j5C6VYjXlzXRzpY9liMC6,9.03e-05,0.348,0.768,0.000126,0.541,-6.153,0.073,126.235,0.303,55
360,6dXgd9fAFuvPZClNaldbLe,7.1e-05,0.435,0.852,0.000863,0.113,-5.507,0.108,144.815,0.373,56
361,1bk4BhmfH3H9vsBSheCZAP,0.00285,0.43,0.613,6.99e-06,0.11,-5.116,0.0354,117.579,0.36,54
362,0HoAVYfPiPE8NZg7u6aHBT,0.00429,0.285,0.586,0.0796,0.123,-7.712,0.0453,144.44,0.0626,54
363,3BDxv4ORzOpXAsa4lWVl4i,0.0272,0.577,0.939,0.0,0.24,-1.352,0.108,105.092,0.714,55
364,76vMKwFtdDDCLcM6zXybjB,0.167,0.491,0.867,0.0,0.458,-2.313,0.103,167.965,0.602,64
365,22oEJW6r2rMb9z4IntfyEa,0.0137,0.577,0.833,0.0,0.121,-3.337,0.0695,107.936,0.58,69
366,1rqqCSm0Qe4I9rUvWncaom,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,82.014,0.681,81
367,0wdV94AXGRphrbkDWLNzVC,0.0467,0.271,0.948,0.0,0.163,-2.207,0.263,83.19,0.515,61
368,6PFoEnjp0PAe5siGswjH9i,0.0375,0.526,0.891,0.0,0.375,-1.549,0.0482,94.095,0.804,55
369,5trCWbYtza0QUxdmF9HAPX,0.0426,0.424,0.892,0.0,0.711,-3.78,0.193,174.008,0.762,55
370,4hUR3thIs01mQUtVmZFJ8F,0.0224,0.517,0.955,0.0,0.364,-1.848,0.167,132.951,0.61,52
371,50Hv5NZIM0puIUoBttjpfb,0.237,0.285,0.922,0.0,0.159,-1.932,0.247,198.063,0.472,59
372,18ULKfQl3KpCnklAKFfO2t,0.0133,0.52,0.878,0.0,0.0433,-1.768,0.0616,168.033,0.783,53
373,18xmRkPWE0sGUzFyNNAAhN,0.876,0.346,0.35,1.98e-06,0.0708,-4.988,0.0328,126.444,0.315,58
374,6cum9a3BtaYIBTPrmqsGdd,0.0259,0.47,0.964,0.0,0.914,-5.808,0.173,91.865,0.106,36
375,41HszkNfEE8OKbqermRsgm,0.0117,0.428,0.96,0.0,0.789,-4.909,0.0778,176.014,0.261,36
376,1tdX9EEKLg4we2BBf8mWzu,0.00963,0.519,0.945,5.51e-05,0.378,-6.196,0.0907,134.866,0.335,33
377,02d3MXxsO0AP3DsoJGOaIt,0.00526,0.534,0.784,0.0,0.685,-5.507,0.0556,128.009,0.183,35
378,5lHxUGPPC3wtZH8UQxsFr7,0.00374,0.578,0.877,0.0,0.985,-5.888,0.0552,124.004,0.584,34
379,7wnYW5zboAaiHE5KBaVc0Z,0.00458,0.236,0.924,0.0,0.919,-6.074,0.307,166.951,0.2,34
380,68wbhtYYm11CSO7cZVjfEx,0.0224,0.279,0.849,0.0,0.256,-5.803,0.114,158.589,0.288,33
381,7HzfAGGKnYVEHVsdkGUbXu,0.159,0.459,0.859,1.03e-06,0.322,-5.258,0.0738,77.741,0.385,34
382,49heun7OiWwsdhUyoukbBV,0.0627,0.368,0.948,2.38e-06,0.843,-6.448,0.492,163.931,0.143,34
383,3ZvAEbxNItDMXcqbIkC5zc,0.839,0.258,0.396,0.0,0.572,-8.684,0.0328,78.048,0.334,40
384,3VxIsNkzxWQA8sPUT13qeb,0.0227,0.377,0.807,0.0,0.99,-5.452,0.0932,139.611,0.312,33
385,14u56kXmNRjyWJI28qj4qg,0.0368,0.42,0.825,0.0,0.224,-5.867,0.0621,123.874,0.188,33
386,4ub0WswLOa1xf8LMtc03ZS,0.0414,0.256,0.812,5e-05,0.372,-6.213,0.0613,148.994,0.242,38
387,7mZ1A9pbWPvIAkbvcvFgdG,0.042,0.292,0.917,2.26e-06,0.0997,-5.571,0.214,189.074,0.342,35
388,3GHDGjWdd8gL6gRvoQAcuD,0.00543,0.518,0.823,1.32e-06,0.369,-5.878,0.0674,127.764,0.299,33
389,3Xqk2oXSwyCamRW58w6p0O,0.00239,0.504,0.855,0.0,0.959,-5.779,0.0728,113.973,0.232,32
390,4H8LoXbgzwbPotHKaxSH6o,0.00689,0.457,0.918,4.16e-06,0.322,-5.34,0.0903,93.0,0.284,32
391,4M7dn3CxwfaUfEZpS4yXj8,0.00916,0.5,0.941,0.000206,0.833,-5.624,0.123,144.909,0.492,33
392,5FEV9pypGEx6ndrF3V0cX9,0.185,0.302,0.644,9.74e-06,0.214,-6.806,0.0438,144.052,0.201,39
393,15f1eR2oh2fiXLgod096wF,0.0263,0.382,0.952,0.0,0.349,-5.417,0.225,169.967,0.223,34
394,68lKzbhZAMxsDJfYWgjjYf,0.0213,0.268,0.911,0.0,0.963,-6.07,0.125,109.95,0.351,33
395,6od5hFv9IT5JHc7NEF9HRv,0.00205,0.57,0.865,0.0,0.404,-4.518,0.0472,110.01,0.691,68
396,2fh3bZ8jZhMxOcfESE9nQY,0.0154,0.559,0.895,0.0,0.175,-4.476,0.0832,183.825,0.59,68
397,6TzJLISIitIzn1WtjDY0Op,0.011,0.578,0.886,0.0,0.143,-4.348,0.0633,80.008,0.615,59
398,3px2rAPu74ltbkf9eZsZ8h,0.00302,0.562,0.904,0.0,0.0433,-4.947,0.0807,94.481,0.651,69
399,1BECwm5qkaBwlbfo4kpYx8,0.0137,0.462,0.538,0.0,0.429,-5.527,0.059,139.256,0.405,70
400,6V68ItawQkQlZhYIf1S86C,0.000247,0.455,0.91,0.0,0.107,-4.464,0.166,114.109,0.447,63
401,2fmCA13dwQQOGBIbIOWRiJ,0.00043,0.49,0.848,8.49e-06,0.0665,-5.05,0.0645,175.998,0.698,66
402,3fwKVZ73y7UUGMyR6rVCRa,0.00329,0.556,0.708,0.0,0.329,-5.708,0.039,128.006,0.206,58
403,5eoZTdiq4C4aoEfUwAN0ha,0.00191,0.531,0.825,0.0,0.329,-5.333,0.0545,156.071,0.824,58
