,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
99,윤하,YOUNHA 6th Album 'END THEORY',9,10xEWyLu80xSy17g9jptlD,Stardust,spotify:track:10xEWyLu80xSy17g9jptlD,0.474,0.501,0.499,9.14e-06,0.143,-5.073,0.0322,129.665,0.218,38
102,윤하,RescuE,1,4Nr2SB8Yz7UyNHwBbeDdbJ,Rescue,spotify:track:4Nr2SB8Yz7UyNHwBbeDdbJ,0.622,0.608,0.475,0.000154,0.0473,-9.936,0.0468,104.009,0.114,22
103,윤하,RescuE,2,7AgILHRIdHKV65CIeLarkj,Hello,spotify:track:7AgILHRIdHKV65CIeLarkj,0.429,0.694,0.62,0.0,0.108,-5.617,0.045,103.044,0.574,32
105,윤하,RescuE,4,7BQBOB62PuCV1JyzgVFwkp,Like Nothing,spotify:track:7BQBOB62PuCV1JyzgVFwkp,0.688,0.537,0.492,0.0,0.115,-6.244,0.0292,131.802,0.291,26
106,윤하,RescuE,5,3rfccQQ4TV1CTVSmF6U5ww,Airplane mode,spotify:track:3rfccQQ4TV1CTVSmF6U5ww,0.605,0.655,0.524,3.56e-06,0.106,-8.064,0.306,171.618,0.605,33
107,윤하,RescuE,6,5zxkcCX9UD3SVr8NPunPu1,Foresight dream,spotify:track:5zxkcCX9UD3SVr8NPunPu1,0.536,0.625,0.488,0.0,0.362,-7.058,0.0367,81.977,0.252,18
108,윤하,RescuE,7,230tchsCpTQpy3lSsDyg15,FEEL,spotify:track:230tchsCpTQpy3lSsDyg15,0.355,0.738,0.697,3.93e-06,0.133,-4.08,0.0442,95.951,0.84,19
109,윤하,RescuE,8,1SMxzfANnBNaZP1l4qusca,Drive,spotify:track:1SMxzfANnBNaZP1l4qusca,0.793,0.596,0.549,0.000442,0.275,-7.053,0.0383,153.914,0.614,18
110,윤하,RescuE,9,2GmD1uqwhvkSwhKIWNOItx,Go,spotify:track:2GmD1uqwhvkSwhKIWNOItx,0.63,0.688,0.48,0.0246,0.114,-9.246,0.563,170.111,0.336,14
111,윤하,RescuE,10,4xvDJ68sBYclYh5ht1baDQ,No answer,spotify:track:4xvDJ68sBYclYh5ht1baDQ,0.877,0.512,0.316,1.36e-05,0.138,-8.119,0.0362,127.986,0.433,24
